tag,model_family,family,subgroup,n_rows_pooled_test,n_complexes,pooled_test_rmse,pooled_test_mae,pooled_test_r,pooled_test_r2,mean_outer_test_rmse,std_outer_test_rmse,mean_outer_test_mae,std_outer_test_mae,mean_outer_test_r,std_outer_test_r,mean_outer_test_r2,std_outer_test_r2
full_SD_semi_sd_dynamic_all_z16,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.205170131058804,1.757656718901896,0.2299260918569933,-0.15700327731822172,2.1980181915610473,0.1624844539184518,1.7568385939638549,0.14179411337483258,0.2481343078811352,0.09310851832019831,-0.1818440945807255,0.1624138199041282
full_SD_semi_sd_dynamic_all_z16,vae_ridge,full vae semi SD,other,1932,966,2.7105188807936993,2.083559290918878,0.3216258067888663,-0.009630684911187126,2.706153862959977,0.17874660296763267,2.083206496913925,0.1076924271155925,0.3249278804241547,0.08566524033306883,-0.025205488535614516,0.12959080106799667
full_SD_semi_sd_dynamic_all_z16,vae_ridge,full vae semi SD,tcr_pmhc,210,105,2.238826075386832,1.7337013297731525,0.35174523015224113,-0.6517045943516255,2.134373487127743,0.5220108060883197,1.696869080104807,0.3948256856985018,0.3014428354975659,0.3528908774417311,-1.0128945745433011,1.317973262642656
full_SD_semi_sd_dynamic_all_z32,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.1496899783765144,1.6689077426324648,0.23795706095035069,-0.09951725716322457,2.1355199115858072,0.1666941698412408,1.666781412178398,0.12283992900677759,0.25627423428095053,0.10119314407294791,-0.11446044280964687,0.14223283788379143
full_SD_semi_sd_dynamic_all_z32,vae_ridge,full vae semi SD,other,1932,966,2.6314070206086693,2.0233497817072776,0.37438874194941063,0.048445372188155256,2.6271045886744053,0.1673514950519084,2.0241836659450887,0.11988822411110782,0.3824762554553487,0.06259663964204919,0.033645216976975714,0.1194761301874863
full_SD_semi_sd_dynamic_all_z32,vae_ridge,full vae semi SD,tcr_pmhc,210,105,2.022009260669387,1.5461712415879079,0.3843994365675945,-0.34728025334544843,1.973013687582306,0.33752280566212933,1.5270917479249957,0.20580790461562207,0.35862756744890484,0.277045564411601,-0.6289969017233912,0.7872610935583793
full_SD_semi_sd_dynamic_all_z8,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.2279037096006054,1.744420203453332,0.18221634491370342,-0.18098184049313892,2.2229793425383515,0.17715089547184723,1.7473228147674766,0.16373864364417323,0.19327384140516407,0.10173006921117982,-0.20535382023839022,0.13335721550663707
full_SD_semi_sd_dynamic_all_z8,vae_ridge,full vae semi SD,other,1932,966,2.647634609491343,2.0306664276000848,0.3575835007251121,0.0366729249953307,2.642977106203338,0.2184129326518569,2.0336737356413708,0.1718143673559443,0.36286502994606884,0.07690765155512728,0.026990051257628656,0.1021150761564476
full_SD_semi_sd_dynamic_all_z8,vae_ridge,full vae semi SD,tcr_pmhc,210,105,2.2506406153708225,1.6184777730940314,0.37329743114140196,-0.6691830571309529,2.1500367903736906,0.6432190867084416,1.5907883092631725,0.3458839329539374,0.28880109463969783,0.3766979080039682,-0.7788298408764796,0.7982243458300163
full_SD_semi_sd_static_plus_dynamic_all_z16,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.1875098241013466,1.7165241156490463,0.2091564649595516,-0.13854555123768697,2.183974795314241,0.1920743660608682,1.721061003338398,0.13574521424754096,0.2148110018102587,0.053856837757120954,-0.15951373610201508,0.10184124348569791
full_SD_semi_sd_static_plus_dynamic_all_z16,vae_ridge,full vae semi SD,other,1932,966,2.5756957596212446,1.985635735479573,0.3949221582587692,0.0883108346252941,2.574502633688762,0.16291979101731482,1.9881576246695691,0.14052290855669333,0.3929068006697794,0.0790143269319307,0.07317999780056744,0.10766801271297613
full_SD_semi_sd_static_plus_dynamic_all_z16,vae_ridge,full vae semi SD,tcr_pmhc,210,105,2.0072278484848685,1.5795544089153222,0.39494075804548534,-0.32765431561113356,1.959645212581809,0.32820369804291644,1.5606424014936502,0.2969983036720813,0.3596756428453088,0.2489335444974519,-0.6172468603411525,0.8381481310080116
full_SD_semi_sd_static_plus_dynamic_all_z32,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.2483414286169623,1.7867820677573414,0.14986991909734293,-0.2027487450416312,2.2324805838427584,0.24839862130782478,1.7867503441704433,0.1949856371517293,0.1693996194166331,0.10448606957166659,-0.20930744505903648,0.13832840577057026
full_SD_semi_sd_static_plus_dynamic_all_z32,vae_ridge,full vae semi SD,other,1932,966,2.594740047401529,2.006665900829902,0.38910452300838744,0.07477922208876953,2.5947262112803173,0.08776191065411665,2.0077181943883082,0.08698189374798727,0.39002841544630684,0.07255565006250614,0.05474069932681168,0.12404002709251648
full_SD_semi_sd_static_plus_dynamic_all_z32,vae_ridge,full vae semi SD,tcr_pmhc,210,105,1.9856321691922814,1.5334570157379879,0.40385600051004855,-0.2992396455119348,1.9719984468503362,0.3459757246613706,1.5293061781366453,0.2534102203320146,0.28846726719330695,0.37493411842412244,-0.669129058285697,0.90858530617663
full_SD_semi_sd_static_plus_dynamic_all_z8,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.156980701623422,1.7012119768888652,0.22519840521000933,-0.1069879806635059,2.1393760522698932,0.2244837596575879,1.6967920579885782,0.1708369581610087,0.24895139494467472,0.07887616203417688,-0.11207664078579851,0.13241109638937382
full_SD_semi_sd_static_plus_dynamic_all_z8,vae_ridge,full vae semi SD,other,1932,966,2.692079241072983,2.0845761651153643,0.32894298359641744,0.004059608698023798,2.6899199032780206,0.1646939265487121,2.087061901773704,0.12418251641034217,0.3404039817179213,0.07785493594562681,-0.014105254020592617,0.14114726579575168
full_SD_semi_sd_static_plus_dynamic_all_z8,vae_ridge,full vae semi SD,tcr_pmhc,210,105,2.1735778601045435,1.6581423904002506,0.38907114030601514,-0.5568331386951011,2.1132799158678557,0.5275118800071332,1.6323528522945723,0.3397450582780639,0.3166996563435944,0.3511820855117672,-0.9323223370857852,1.011750860705851
full_SD_semi_shared_static_z16,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.1670386201410543,1.6805240031375441,0.23305701748191013,-0.11733573537205144,2.1546297831723193,0.1733017634365599,1.6768926682539924,0.1333462513242538,0.24256324925396539,0.06787325622523833,-0.13052237388219626,0.11233501870771005
full_SD_semi_shared_static_z16,vae_ridge,full vae semi SD,other,1932,966,2.5989677703806735,2.0117584235453387,0.39716403706981857,0.07176176082209196,2.5970024408649435,0.09411817524863526,2.0120558058594042,0.0881865181621564,0.39963628259440487,0.07364738146830266,0.050754335143799144,0.1466156907708408
full_SD_semi_shared_static_z16,vae_ridge,full vae semi SD,tcr_pmhc,210,105,1.957626944706278,1.5242550482511352,0.40464049319011214,-0.26284931182495663,1.9394679752495414,0.26235363738449974,1.5217806371323073,0.2114700718481128,0.3552044464525267,0.2583586530997618,-0.4884167826345733,0.50108711207462
full_SD_semi_shared_static_z32,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.1983562005438078,1.7255568428204255,0.1963951283971641,-0.14986409152119085,2.1896565044878105,0.2036969258407677,1.7258105713563083,0.15741024637175222,0.2162946748384229,0.1366422490839966,-0.1749149530043991,0.19611551248700695
full_SD_semi_shared_static_z32,vae_ridge,full vae semi SD,other,1932,966,2.5819533325327386,1.9793604808279177,0.4041044412361978,0.08387561247843944,2.5823314213462005,0.10618599961438044,1.9813731262647754,0.10650347248078465,0.405989018990225,0.04959338182140287,0.06711424544559944,0.0953286854296073
full_SD_semi_shared_static_z32,vae_ridge,full vae semi SD,tcr_pmhc,210,105,1.8853667777318064,1.4554079059061364,0.48683330402287134,-0.17134105134647215,1.872715336376471,0.3199201486031193,1.46590490151364,0.25789773717828,0.4258974581745652,0.26137430691628705,-0.4216707448285385,0.6106422028315536
full_SD_semi_shared_static_z8,vae_ridge,full vae semi SD,antibody_antigen,732,366,2.147363792936046,1.688367135069375,0.2659038699676011,-0.0971389633403692,2.132870188328379,0.2343241354926614,1.6877552922149033,0.18281325090632478,0.28117825745131764,0.09000977001848512,-0.10554274617507867,0.1413195998786526
full_SD_semi_shared_static_z8,vae_ridge,full vae semi SD,other,1932,966,2.592299390215739,2.011524692140913,0.4084532929628949,0.07651896069298958,2.589192286069766,0.1441419510003133,2.011819244860691,0.08474557168630845,0.4129521774898712,0.06679921634681195,0.06210532476778578,0.104788337609289
full_SD_semi_shared_static_z8,vae_ridge,full vae semi SD,tcr_pmhc,210,105,1.8651263359692287,1.478777025547199,0.459376782737625,-0.146326079215634,1.8591701560149059,0.245529849477744,1.4902090008080264,0.17336176206104886,0.40467495962984595,0.23227299740576607,-0.3963959070676487,0.5705053861059196
full_SD_unsup_sd_dynamic_all_z16,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.294936875908024,1.8542962606476456,0.039307051116893865,-0.25311773155901074,2.2902976940545323,0.13348463309485517,1.8538434471373193,0.10815784373473847,0.038335349182368,0.08298785364945227,-0.28011324305949536,0.11153393888137993
full_SD_unsup_sd_dynamic_all_z16,vae_ridge,full vae unsup SD,other,1932,966,2.69976017581495,2.127895083263458,0.06415389410648764,-0.0016316547857562202,2.698175824263928,0.1910345710514485,2.131579334967115,0.1405311195394636,0.07422927283369254,0.045843684633158056,-0.011072587758615849,0.021950193656785865
full_SD_unsup_sd_dynamic_all_z16,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.2365262402802966,2.931526672403035,0.09059443501670134,-2.4518342115397185,3.2061281535666035,0.29993150442481625,2.9253450735935527,0.2796137542624292,0.16928351611252454,0.19080037290595445,-3.2293771320073565,1.7944883579822717
full_SD_unsup_sd_dynamic_all_z32,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.298620756167028,1.855759913729331,0.05903591623780802,-0.2571440216420804,2.2915878754944408,0.15647817784571266,1.8550074345065617,0.10826862020230106,0.05468714387844986,0.10765554854677713,-0.2836976922558948,0.1533709153094732
full_SD_unsup_sd_dynamic_all_z32,vae_ridge,full vae unsup SD,other,1932,966,2.688816830105163,2.1159574814192625,0.09819573888324439,0.006472017698482713,2.6873190254662473,0.1816112025876048,2.1192975104739316,0.14282458138820367,0.10604424127267906,0.10475047999025078,-0.0038971526886348307,0.0426544014610138
full_SD_unsup_sd_dynamic_all_z32,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.207657298296446,2.8952949697938704,0.08226978750245757,-2.3905299828228586,3.1972635633135362,0.3281792369609699,2.9053056519811,0.3614061910607153,0.2053158092779926,0.24083453995992968,-3.125410826674798,1.4089029087577059
full_SD_unsup_sd_dynamic_all_z8,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.3113272311090816,1.86830325738524,0.07453771677317261,-0.27108109211883247,2.30571075003219,0.14996191093363478,1.8677208363295825,0.11870962607431278,0.07093205272146044,0.055492680217609267,-0.298473178949649,0.1386229665421793
full_SD_unsup_sd_dynamic_all_z8,vae_ridge,full vae unsup SD,other,1932,966,2.701516345776662,2.1279884023979716,0.013025649608792574,-0.002935183565119903,2.699106906827462,0.20748759028541686,2.131683385943647,0.14613474554417483,0.042659950797125555,0.10324572759389236,-0.01078664944717429,0.014015058873458067
full_SD_unsup_sd_dynamic_all_z8,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.2055556621645027,2.9298592225263995,0.23829582344320124,-2.38608853206124,3.2113798825952657,0.22993577960285394,2.947498596818766,0.2382870809370055,0.28327377631979483,0.15877911801510247,-3.2279917319792633,1.7511335681952784
full_SD_unsup_sd_static_plus_dynamic_all_z16,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.3222512356316836,1.879245344234519,0.047324438412509155,-0.2831244829322799,2.3142149637970215,0.15814680587389363,1.8776875865641447,0.11639442455471649,0.05650593925316409,0.1170865709667841,-0.3077670496805592,0.14088668242084518
full_SD_unsup_sd_static_plus_dynamic_all_z16,vae_ridge,full vae unsup SD,other,1932,966,2.700859172441019,2.1286099403267795,0.053436883105220746,-0.002447293055674482,2.698678110654706,0.20576983209433308,2.1324301259677108,0.1491587267689794,0.05717084650571769,0.07237941665393394,-0.010537263066860791,0.012915704188947497
full_SD_unsup_sd_static_plus_dynamic_all_z16,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.275200725504215,2.9751042733626316,0.12222428735925575,-2.5348216554488006,3.280318010076492,0.2730052741034017,2.9977762785593205,0.31007018145782234,0.22032871013323035,0.19093699770826786,-3.435687961136309,1.81719321812667
full_SD_unsup_sd_static_plus_dynamic_all_z32,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.2793125964412324,1.8400231565203111,0.10396348158168521,-0.23611298233734312,2.276371076741534,0.12734980464910853,1.8417732163543152,0.08241542758217146,0.10364665966617555,0.13378429770195308,-0.26595752564525094,0.12566452501505795
full_SD_unsup_sd_static_plus_dynamic_all_z32,vae_ridge,full vae unsup SD,other,1932,966,2.700451835568357,2.1292330026971142,0.08433517939090962,-0.0021449426350472756,2.699066965260419,0.18236708531761095,2.1324765356003637,0.1418150504701634,0.07595628849864737,0.11054142222651747,-0.012706716673209783,0.04184627229469653
full_SD_unsup_sd_static_plus_dynamic_all_z32,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.1364808626187584,2.838062587600768,0.132507185989012,-2.2417308047804467,3.141357615627829,0.29895252550445994,2.8602204326385285,0.32630438522492033,0.207981482800795,0.21880839186189116,-3.036163888816617,1.5445403469454735
full_SD_unsup_sd_static_plus_dynamic_all_z8,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.307628628162507,1.8703385766256337,0.08730715575913008,-0.2670163601825857,2.301952675227836,0.13544242217862018,1.8693225997868796,0.102146262200756,0.0995323595598333,0.07925575167501829,-0.29685936083561,0.15280463756129678
full_SD_unsup_sd_static_plus_dynamic_all_z8,vae_ridge,full vae unsup SD,other,1932,966,2.699253507788018,2.1246823958947454,0.035940881603550696,-0.0012557346446699924,2.6971355116805245,0.20369900797560592,2.128399996268491,0.15279550800477248,0.0503174198716916,0.0551841277095307,-0.009496346305613579,0.01224325571430251
full_SD_unsup_sd_static_plus_dynamic_all_z8,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.227160136940344,2.935534498630344,0.15635872425474961,-2.4318847634553546,3.237033257535203,0.2239808514745256,2.9598824439277336,0.26226863920962884,0.21846698999666522,0.30607680380746993,-3.304455997298688,1.7619174122096308
full_SD_unsup_shared_static_z16,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.2988776616239943,1.8597187531321862,0.07339458696216877,-0.2574250468670598,2.2935860023207235,0.1392849684796835,1.858676581857532,0.10524229920478202,0.04838639733665129,0.12971421307771794,-0.2842231480127234,0.12271942030266947
full_SD_unsup_shared_static_z16,vae_ridge,full vae unsup SD,other,1932,966,2.68904513951438,2.1197167759088944,0.1077739114658636,0.006303288155907083,2.687867634747531,0.17930180827464134,2.1231867197105965,0.12454405038361341,0.11251304964424007,0.08963311288285555,-0.004354793320480421,0.040678929338694415
full_SD_unsup_shared_static_z16,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.156609282152717,2.8267854989683503,0.008943064816511,-2.283472039598422,3.14267435896529,0.3507152426174841,2.8400288592067375,0.36612037965985766,0.06096409605159129,0.2954634118672659,-2.987302729161794,1.5533005281941046
full_SD_unsup_shared_static_z32,vae_ridge,full vae unsup SD,antibody_antigen,732,366,2.2405669784910995,1.8160582882201204,0.10770254078205597,-0.19444525226272713,2.2343414519636355,0.1600094519075192,1.8152013812647803,0.1309183731740555,0.1167167247249971,0.12554045460879987,-0.21626763044637118,0.10574135519134831
full_SD_unsup_shared_static_z32,vae_ridge,full vae unsup SD,other,1932,966,2.7274023951660236,2.1335307488212787,0.12008231189280906,-0.022247607416730153,2.7249606748336412,0.13976020730613317,2.1356233427217064,0.11540779852430273,0.14981731512382696,0.11053811367039831,-0.03845473970437473,0.11466645619317425
full_SD_unsup_shared_static_z32,vae_ridge,full vae unsup SD,tcr_pmhc,210,105,3.056954551767981,2.717242610101971,0.18870549635663236,-2.0794249771974327,3.0240380580634527,0.3750525729391397,2.7135612734695167,0.3735145453721939,0.19533934282171217,0.21334572062534427,-2.793126013468431,1.7051490434765106
